AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted_Rank
C-15637,J K Institute of Pharmacy Near Gatora,Maharashtra,8,120,0,0,56,15,5.556242445
C-24215,Balasu Rama Rao Degree College,Gujarat,6,0,0,10,52,0,5.557798231
C-51754,SUBHASH CHANDRA BOSE,Karnataka,13,172,0,10,81,13.23076923,5.557798231
C-14452,Arumugam Pillai Seethai Ammal,Uttar Pradesh,10,0,0,10,52,0,5.564021376
C-11994,Rabindra Siksha Sammilani,Maharashtra,16,371,0,10,68,23.1875,5.573356094
C-26234,Punjab Ayurved Medical,Rajasthan,35,320,1,10,76,9.142857143,5.662496921
C-42855,Gopikabai Sitaram Gawande,Uttar Pradesh,26,1623,2,10,69,62.42307692,5.662576354
C-23866,S.D.S.(Autonomous) College of Arts,Madhya Pradesh,4,627,0,10,81,156.75,5.662576354
C-43020,"Abhinav College of Education, D.",Madhya Pradesh,2,0,0,10,53,0,5.66413214
C-38540,"Maharishi Dayanand Law College, Jaipur",Karnataka,15,435,0,10,92,29,5.671911072
C-14753,Arputha Jothi College of Teacher,Uttar Pradesh,9,0,0,10,53,0,5.675022644
C-57529,NATIONAL COLLEGE OF EDUCATION,Kerala,16,100,0,10,60,6.25,5.685913148
C-11431,"Dev Bhoomi Group Of Institutes,",Maharashtra,19,0,2,10,52,0,5.737075951
C-45551,KONGUNADU COLLEGE OF NURSING (Inst.,Gujarat,26,258,1,10,79,9.923076923,5.765975059
C-52200,"Indu Mahila Mahavidyalaya, Ratanpura",Karnataka,3,403,0,10,57,134.3333333,5.776689195
C-9034,C385 Vishveshwaraiah BCA BBM &,Tamil Nadu,3,0,0,10,54,0,5.778244981
C-43051,"Shri Shivaji Arts , Commerce",Maharashtra,30,2720,2,0,55,90.66666667,5.784468126
C-16137,Tilakdhari Mahila Mahavidyalay,West Bengal,9,760,0,10,59,84.44444444,5.798945099
C-50653,RADHE INSTITUTE OF ENGINEERING,Tamil Nadu,30,489,1,10,55,16.3,5.821628853
C-7106,S.K. Acharya Institute of Law,Tamil Nadu,25,597,2,10,99,23.88,5.90947147
C-53735,ABHIRUCHI LALIT KALA AkADAMI,Gujarat,3,15,0,0,14,5,5.930726354
C-19495,"Daroga Prasad Rai Degree College, Siwan",Andhra Pradesh,42,0,0,10,55,0,5.951477699
C-58675,NANDKUNVARBA MAHILA DIPLOMA IN,Maharashtra,4,119,0,0,87,29.75,6.001803303
C-15418,MAHARANA PRATAP GOVT. DEGREE,Maharashtra,7,104,0,10,50,14.85714286,6.002999796
C-56843,SDM Institute of Ayurveda and Hospital,Tamil Nadu,48,401,2,10,57,8.354166667,6.00335909
C-52109,WESTWOOD INSTITUTE OF HOTEL,Andhra Pradesh,16,174,2,10,58,10.875,6.006470662
C-25060,Kurinji College of Engineering and,Haryana,70,329,2,10,64,4.7,6.009582234
C-15424,CHACHA VISHAL SINGH KANYA,Andhra Pradesh,9,0,0,10,56,0,6.012693807
C-41299,Mohammadiya Education Societys,Maharashtra,5,98,0,0,97,19.6,6.017361166
C-55457,SRI VASAVI DEGREE and PG COLLEGE,Karnataka,19,815,0,10,92,42.89473684,6.017361166
C-49468,"SIDDHI B. ED. COLLEGE, AHMEDABAD",Maharashtra,10,200,0,10,81,20,6.112804571
C-49882,SHIVAJI DEGREE COLLEGE,Rajasthan,16,381,0,10,83,23.8125,6.112804571
C-6786,SMT K B DAVE COLLEGE OF EDUCATION,Bihar,16,188,1,10,89,11.75,6.112804571
C-41218,Synergy Foundations Synergy,Chattisgarh,4,18,0,0,74,4.5,6.114360358
C-57432,"Adhyapak Mahavidyalaya, General",Andhra Pradesh,2,0,0,10,57,0,6.114360358
C-45489,Dr.MOHAN'S DIABETES EDUCATION,Rajasthan,3,0,0,10,57,0,6.115916144
C-17223,Nonoi College,Gujarat,50,756,0,0,52,15.12,6.14236451
C-38874,"Shekhawati TT Inst., Sikar",Madhya Pradesh,16,157,0,10,78,9.8125,6.167078947
C-9317,B232 A I M E S Degree College Bidar,Uttar Pradesh,43,0,0,10,57,0,6.178147594
C-26559,Ambica Sanskrit TT college,Haryana,2,3,0,10,52,1.5,6.209141092
C-42419,TRILOKNATH SNATKOTTAR MAHAVIDYALA,Karnataka,11,844,2,10,85,76.72727273,6.211000256
C-48508,JIVANJYOT COLLEGE OF EDUCATION,Gujarat,8,199,2,10,71,24.875,6.211309819
C-30422,"Mediciti Inst. of Medical Sciences,",Madhya Pradesh,159,732,2,10,91,4.603773585,6.226917412
C-45979,"SARFRAZ COLLEGE OF EDUCATION,",Rajasthan,15,264,0,0,84,17.6,6.233140557
C-55470,SPS ACADEMY COLLEGE OF EDUCATION,Karnataka,10,0,0,10,87,0,6.236252129
C-28237,RAO DALIP SINGH COLLEGE OF,Uttar Pradesh,10,100,0,10,76,10,6.309555234
C-20585,Shri Saraswati Sanskrit Mahavidyalay,Rajasthan,9,138,2,0,93,15.33333333,6.321698146
C-59901,GEETANJALI COLLEGE OF SCIENCE AND,Tamil Nadu,12,0,1,10,58,0,6.322001524
C-35682,"SANA College of Education, Shantiniketan",Maharashtra,16,164,0,10,95,10.25,6.339474466
C-13394,"Jhamman Lal Degree College,",Gujarat,62,3238,0,10,73,52.22580645,6.341030252
C-52128,"EXCELLENT COLLEGE DOIFODIA,",Nagaland,5,0,0,10,59,0,6.344141825
C-27714,"ATNs DEGREE COLLEGE, TIRUPATI",Maharashtra,10,0,0,10,59,0,6.351920756
C-52313,COLLEGE OF DENTAL SCIENCE AND,Uttar Pradesh,51,0,4,10,56,0,6.396141827
C-49608,MARWADI EDUCATION FOUNDATION-,Uttar Pradesh,30,582,2,10,53,19.4,6.396860414
C-6266,MCKV Institute of Engineering 116,Rajasthan,98,1438,3,10,60,14.67346939,6.426532254
C-46918,LAL BAHADUR SHASTRI INSTITUTE OF,Uttar Pradesh,22,243,2,10,58,11.04545455,6.427938382
C-1217,"Shivam Institute of Management,",Tamil Nadu,5,17,0,10,75,3.4,6.441317384
C-14600,Sathyasai B.Ed. College,Karnataka,14,200,0,10,55,14.28571429,6.450475734
C-35604,Dr.K.S.Sharma College of Computer,West Bengal,2,0,0,10,60,0,6.45203152
C-574,Nutan Gram Vidhyapeeth,Odisha,11,216,2,0,92,19.63636364,6.455143093
C-36490,M.K. UNIVERSITY EVENING,Maharashtra,10,153,0,0,90,15.3,6.456698879
C-34765,SHRI RAWATPURA SARKAR,Gujarat,19,214,2,10,91,11.26315789,6.50243875
C-60433,"Central Institute of Education,",Gujarat,5,0,2,10,59,0,6.503194324
C-38253,"Rajasthan School of Art, Jaipur",Maharashtra,19,220,0,0,86,11.57894737,6.537743043
C-54308,SHIV NARAIN SMARK MAHAVIDYALA,Uttar Pradesh,5,191,0,10,89,38.2,6.553874439
C-15023,Jayanthi College of Education,Karnataka,12,193,0,10,75,16.08333333,6.557735912
C-15162,SMT. SURAJMUKHI DEGREE,Karnataka,1,812,0,10,71,812,6.563032788
C-48598,G D BAGARIA INSTITUTE OF MANAGEMENT,Rajasthan,5,0,0,10,61,0,6.569255933
C-27124,"M.P.College, Mohania",Uttar Pradesh,33,3403,4,10,72,103.1212121,6.573923292
C-18273,Sri Niketan Arts Commerce,Himachal Pradesh,16,533,0,10,81,33.3125,6.643808583
C-44509,"NKGS, College of Agriculture, Nanded Road,",Gujarat,33,446,2,10,92,13.51515152,6.659369309
C-47338,Swift Technical Campus,Telangana,23,152,2,10,90,6.608695652,6.664340045
C-47907,"GVM NURSING COLLEGE, ANIYAD",Gujarat,20,189,2,10,64,9.45,6.675589843
C-14466,Aasee College of Education,Kerala,1,0,0,10,62,0,6.675589843
C-47358,NALANDA SCIENCE & COMMERCE,Maharashtra,15,174,0,0,63,11.6,6.677145629
C-6443,Government Akhandanand Ayurved,Maharashtra,42,295,0,0,95,7.023809524,6.680257202
C-96,Marwadi Education Foundation`s,Andhra Pradesh,40,328,2,10,71,8.2,6.764091516
C-49080,DOCTORS INSTITUTE OF LABORATORY,Maharashtra,9,5,0,10,53,0.555555556,6.768521574
C-45567,KOVAI MEDICAL CENTER AND,Punjab,68,635,2,10,65,9.338235294,6.773449951
C-45246,SHRI DOMBIVLI MITRA,Uttar Pradesh,26,773,0,10,78,29.73076923,6.777851803
C-21322,Ramanand Institute of Pharmacy &,Tamil Nadu,90,841,1,10,66,9.344444444,6.786574534
C-21794,Nagrik Kalayan College,Maharashtra,14,909,0,10,70,64.92857143,6.788146897
C-1400,"N M A M Institute of Technology,",West Bengal,311,4974,2,10,51,15.99356913,6.788146897
C-48795,VINAYAKA COLLEGE OF PHYSICAL,Madhya Pradesh,8,200,0,10,88,25,6.789702683
C-15800,JAI JAGDAMBA COLLEGE OF EDUCATION,Arunachal Pradesh,5,89,0,10,73,17.8,6.79125847
C-42967,"Dwarka College of Education,",Haryana,5,0,0,10,63,0,6.794370042
C-41115,Sri Ramalinga Sowdambigai College of,Punjab,42,578,0,10,79,13.76190476,6.797481615
C-30646,"Viswa Bharathi College of Nursing,",Madhya Pradesh,18,160,1,10,50,8.888888889,6.802148973
C-59009,DEEKSHITHA B.Ed COLLEGE,Tamil Nadu,16,1,0,10,61,0.0625,6.805008258
C-5956,Shri Natvarsinhji Arts & Science,Telangana,21,1729,1,10,97,82.33333333,6.806816332
C-33934,Rizvi Institute of Management,Madhya Pradesh,45,235,0,10,74,5.222222222,6.807538579
C-18822,"Purushottam Thote College of Social Work,",Maharashtra,16,252,0,10,90,15.75,6.81531751
C-35441,"Social Science Centre, Pune",Gujarat,9,122,2,10,90,13.55555556,6.816873296
C-389,Brahmanand Insitute of Management,Karnataka,8,0,0,0,51,0,6.818429082
C-31552,PRT INSTITUTE OF TECHNOLOGY,Tamil Nadu,15,117,0,10,68,7.8,6.824652227
C-20495,Shri Tiwari Vaidikadarsha Sanskrit,Telangana,4,86,0,10,90,21.5,6.829319586
C-30370,"Sri Sai College of Dental Surgery,",Maharashtra,95,630,4,0,59,6.631578947,6.880629578
C-16041,"Shri Haridas Mahavidyalaya Lahangpur,",Gujarat,1,508,0,10,55,508,6.902259738
C-54902,"Sai Ram College of Education,",Uttar Pradesh,16,195,0,10,94,12.1875,6.903664255
C-39953,B.N. P.G. COLLEGE,Gujarat,29,0,3,10,62,0,6.957730606
C-45298,SKANDHA SCHOOL OF ARCHITECTUR,Maharashtra,13,102,1,10,54,7.846153846,7.014816792
C-53186,VELAMMAL MEDICAL COLLEGE,Gujarat,214,150,4,10,59,0.700934579,7.017928364
C-22954,"Govt. Degree College, Bhaderwah",Karnataka,67,6155,2,10,50,91.86567164,7.030374654
C-25030,Shivani Engineering College,Maharashtra,80,532,2,10,72,6.65,7.069091168
C-59882,Abdul Razzak Quadri Institute of P.,Uttar Pradesh,5,9,0,10,48,1.8,7.075318003
C-32668,Sri Rama Krishna Degree,Jharkhand,11,362,0,10,59,32.90909091,7.083443047
C-58530,Marathwada Institue of Career,Uttar Pradesh,6,100,0,10,78,16.66666667,7.110524749
C-40638,"Shri Dwarka Physical T. T. College, Naal",Maharashtra,11,194,0,0,69,17.63636364,7.12581806
C-24209,"Vidyaardhi Degree College,",Tamil Nadu,8,181,0,10,82,22.625,7.127373846
C-44344,Adarsh Sanskar Special,Jammu and Kashmir,2,0,0,10,66,0,7.127373846
C-8813,100112-EKES'S RAOSAHEB,Tamil Nadu,2,0,0,10,66,0,7.127373846
C-12654,"SATGURU DEGREE COLLEGE,",Uttar Pradesh,34,2158,0,10,57,63.47058824,7.136708564
C-48988,APOLLO HOSPITAL ENTERPRISE,Odisha,14,0,0,10,66,0,7.146043281
C-60369,FACULTY OF HUMANITIES,Telangana,2,8,1,10,50,4,7.159496575
C-12203,SRI ANANT RAM DWIVEDI MAHAVIDYALA,Uttar Pradesh,12,501,0,10,59,41.75,7.161601144
C-33445,"Regional Institute of Nursing,",Andhra Pradesh,19,208,1,10,53,10.94736842,7.172491647
C-388,SURYABEN JASHUBHAI THAKKAR,Maharashtra,12,75,0,10,73,6.25,7.173869291
C-51415,"Resami Mahila Mahavidyalay, Ghazipur",Uttar Pradesh,4,574,0,0,55,143.5,7.206900096
C-38805,Tirupaati College of TEchnical,Karnataka,16,572,0,10,91,35.75,7.238375114
C-8669,Huda Education Minority,Rajasthan,8,100,0,10,94,12.5,7.238375114
C-39179,"Nehru College, Dausa",Odisha,14,520,0,10,63,37.14285714,7.238375114
C-59721,Jagadguru Swami Krishnacharya,West Bengal,7,99,0,10,58,14.14285714,7.239930901
C-60095,"Vidya Amrut Dnyan Pratishthan,",Tamil Nadu,13,264,0,10,92,20.30769231,7.252377191
C-36201,Bapu Institute of Technology &,Madhya Pradesh,1,0,0,0,55,0,7.257766796
C-10173,GOMATESH VIDYAPEETH ARTS,Uttar Pradesh,5,33,0,10,91,6.6,7.257766796
C-10937,Ashutosh Maharaja College of,Gujarat,2,0,0,0,55,0,7.259322582
C-49616,BHAGWAN MAHAVIR COLLEGE OF,Madhya Pradesh,2,0,0,0,55,0,7.259322582
C-54155,EKTA INSTITUTE,Gujarat,4,0,0,0,55,0,7.262434155
C-10334,"Dr. I. T Business school ,",Uttar Pradesh,13,5,2,10,56,0.384615385,7.271253487
C-49097,CHRISTIAN MEDICAL COLLEGE,Gujarat,5,1,16,10,54,0.2,7.272588073
C-29176,"Punjab Public College of Nursing, VPO.",Karnataka,49,395,2,0,83,8.06122449,7.272650949
C-55440,MORJIWALA B.Ed. COLLEGE JASIDIH,Gujarat,16,200,0,10,69,12.5,7.280006462
C-60576,PANCHAMRUT INSTITUTE OF NURSING,Maharashtra,5,19,0,0,66,3.8,7.307955242
C-13798,Seth G.S. Medical College & KEM,Uttar Pradesh,345,2011,5,10,67,5.828985507,7.30960128
C-20572,Dr. Ramgopalacharya Sanskrit,Tamil Nadu,4,7,0,10,54,1.75,7.311921475
C-19855,Sai Pranavi College of Pharmacy,Karnataka,16,58,0,10,87,3.625,7.325642423
C-6981,K.S.E.F College of Education,Rajasthan,5,36,0,10,51,7.2,7.34790878
C-54939,"SANA DEGREE COLLEGE, KOILAKUNTLA",Maharashtra,13,76,0,10,57,5.846153846,7.352487955
C-15786,DR.PD.PATIL COLLEGE OF COMPUTER,Gujarat,3,0,0,10,68,0,7.354043741
C-757,MAHARSHI DAYANAND SCIENCE,Uttarakhand,16,678,0,10,63,42.375,7.357155314
C-12490,SMT. AMTUNNA BANO MAHILA,Uttar Pradesh,13,0,0,10,94,0,7.357155314
C-43655,Kerala Institute of Tourism and,Gujarat,7,223,1,10,64,31.85714286,7.361822672
C-13566,"Savitribaifule Rajkiya P.G. College,",Tamil Nadu,11,1484,0,0,84,134.9090909,7.371879636
C-11236,"B.Ed. College, PATAN",Karnataka,7,0,0,0,56,0,7.379658568
C-59603,"SHREE R. R. COLLEGE WEIR,",Uttar Pradesh,6,307,0,10,72,51.16666667,7.394404224
C-14788,Adharsh Vidhyalaya College of,Bihar,7,0,2,10,67,0,7.40676233
C-6784,SHRI BKKP S S GOVINDA EDUCATION,Jammu and Kashmir,17,187,0,10,85,11,7.430458418
C-18081,Visakha Institute of Management,Maharashtra,15,92,0,10,54,6.133333333,7.435022553
C-12084,MEVALAL JAISWAL MAHAVIDYALA,Telangana,24,1816,0,10,52,75.66666667,7.442395414
C-16114,Shrimati Rajdei Singh Mahila,Jharkhand,16,344,0,10,68,21.5,7.447973419
C-60947,"Janta Institute of Veterinary Sciences,",Gujarat,7,118,2,10,98,16.85714286,7.463489223
C-51368,R K Vyawasaik Sansthan (B Ed),Tamil Nadu,15,200,0,10,83,13.33333333,7.463489223
C-30819,Padre Conceicao College of,Telangana,71,1049,1,10,57,14.77464789,7.465045009
C-59570,Maa Sharda Devi Mahavidyalay,Karnataka,9,59,0,10,85,6.555555556,7.467982864
C-34602,Dyandeep Shikshan Sanstha's,Uttar Pradesh,3,0,0,0,57,0,7.485992477
C-31362,CCA INSTITUTE OF PROFESSIONA,Madhya Pradesh,4,0,0,0,57,0,7.487548263
C-37101,Dr.Nallini Institute of Engineering,Andhra Pradesh,20,8,2,10,52,0.4,7.48761543
C-14780,Kanchi College of Education,Jharkhand,15,200,0,10,62,13.33333333,7.489693139
C-6734,Narsinhbhai Patel Dental College &,Tamil Nadu,122,438,2,10,73,3.590163934,7.501354879
C-39893,B.N. P.G. GIRLS COLLEGE,Jammu and Kashmir,52,0,4,10,66,0,7.523268156
C-49102,CHRISTIAN MEDICAL COLLEGE (M.Sc.,Andhra Pradesh,11,1,12,10,59,0.090909091,7.526465924
C-888,SHREE VIVEK BHARTI B.ED. COLLEGE-,Madhya Pradesh,17,125,2,10,82,7.352941176,7.530198543
C-55889,PARUL INSTITUTE OF LAW,Uttar Pradesh,7,165,0,10,88,23.57142857,7.542348083
C-28182,MRDAV Institute of Management,Punjab,14,137,2,10,86,9.785714286,7.543057302
C-45916,VIGNESH NURSING COLLEGE,Karnataka,33,236,2,10,50,7.151515152,7.543275306
C-21230,"Reddy Jansangha FGC, 17th",Chattisgarh,56,1313,2,10,58,23.44642857,7.560752966
C-16290,"Rang Frah Government College,",Bihar,15,253,4,10,68,16.86666667,7.571051585
C-10100,"RAMAKRISHNA VIVEKANANDA BCA COLLEGE,",Uttarakhand,3,53,0,10,67,17.66666667,7.573291985
C-25243,Mahatma Gandhi Engineering,Gujarat,50,478,0,0,73,9.56,7.577602063
C-34083,"Jai Hind College,Basantsing",Maharashtra,55,1966,0,10,78,35.74545455,7.57915785
C-52629,AVM GIRLS INSTITUTE,Karnataka,5,0,0,10,70,0,7.582269422
C-253,Brahmanand institute of computer,Gujarat,7,0,0,10,70,0,7.585380995
C-6907,N M SHAH ARTS COMMERCE,Telangana,17,1164,0,0,50,68.47058824,7.598549531
C-61066,Government College Bicchiwara,Maharashtra,3,200,0,10,90,66.66666667,7.601661104
C-25426,G.V.K. Emergency Management,Kerala,10,0,3,10,68,0,7.603512993
C-55082,SUBRAMANYA COLLEGE OF EDUCATION,Madhya Pradesh,6,194,2,10,60,32.33333333,7.624097508
C-55280,SMT.PANA DEVI RAMESHWER,Uttar Pradesh,4,41,0,10,92,10.25,7.635166155
C-14856,Mother Teresa College of Education -1,Bihar,13,194,0,10,69,14.92307692,7.678075781
C-28986,KALKA DENTAL COLLEGE,Maharashtra,60,142,2,10,71,2.366666667,7.679216388
C-57570,Eklavya College of Education,Tamil Nadu,1,1,0,10,69,1,7.683306455
C-46027,NEELAM COLLEGE OF ENGINEERING,Maharashtra,58,240,1,10,97,4.137931034,7.688603331
C-7201,Shree Swaminarayan Naimisharany,Telangana,1,0,0,10,79,0,7.688603331
C-1174,Shri VJ Patel College of Physical,West Bengal,4,59,1,10,97,14.75,7.688603331
C-1353,"Vidya Vikas Institute of Technology,",Gujarat,168,1995,2,0,79,11.875,7.688603331
C-58074,Dev Bhoomi School of Architecture,Maharashtra,10,9,2,10,52,0.9,7.691246236
C-44413,"S.S. COLLEGE, CHAS, BOKARO",Himachal Pradesh,33,6646,0,10,66,201.3939394,7.69327069
C-13931,"Govt. Medical College, Akola",Tamil Nadu,102,784,5,10,50,7.68627451,7.702068622
C-18721,"Gavrabhai Arts College, Jhalia",Tamil Nadu,5,0,0,0,59,0,7.714218158
C-49249,ROYAL SCHOOL OF ARCHITECTUR,Uttar Pradesh,15,72,3,10,93,4.8,7.716070047
C-11587,"St.Josephs College, Moolamattom,",Assam,63,1168,1,10,66,18.53968254,7.748082264
C-46647,AUDYOGIK SHIKSHAN MANDALS,Rajasthan,7,9,0,10,54,1.285714286,7.753125379
C-56759,SRI KINJARAPU YERRAN NAIDU,Gujarat,20,215,2,10,89,10.75,7.770164427
C-43266,"RINPAS, Kanke",Tamil Nadu,8,21,3,10,60,2.625,7.771241153
C-57973,ENGINEERING COLLEGE DHOLPUR,Gujarat,6,5,0,10,62,0.833333333,7.777216906
C-49989,SIDRA BEd COLLEGE,Uttar Pradesh,12,157,0,10,70,13.08333333,7.783561388
C-24515,Post Graduate Institute of Veterinary,Tamil Nadu,68,368,0,10,62,5.411764706,7.787172637
C-49017,MEDINDIA HOSPITALS (Inst. Code -,West Bengal,2,0,0,10,58,0,7.799257164
C-18275,"Tirupati Arts Commerce and Science,",Maharashtra,1,0,0,10,67,0,7.801160386
C-36354,"Joseph Arts &Science College,",Gujarat,9,791,2,10,60,87.88888889,7.802716172
C-27260,"Sri Pulaji Baba Degree College, # 1-",Rajasthan,14,652,0,10,76,46.57142857,7.804271958
C-20514,Vishva Bandhu Sanskrit Mahavidyalay,Madhya Pradesh,3,35,0,10,76,11.66666667,7.812251984
C-60448,C706 SHREE SAI DEGREE COLLEGE,Maharashtra,9,0,0,10,72,0,7.813606676
C-15561,"K.G.N DEGRE COLLEGE,SIKANDRA,",Gujarat,22,253,0,10,56,11.5,7.815162462
C-54165,HUMAN WELFARE SOCIETY,Madhya Pradesh,4,136,0,10,72,34,7.822107854
C-58519,INDIAN INSTITUTE FOR,Maharashtra,7,135,2,10,51,19.28571429,7.858546334
C-60910,G MADEGOWDA INSTITUTE OF,Tamil Nadu,4,11,2,10,50,2.75,7.896243305
C-33626,"Anjuman I Islam research institute, 92,",Gujarat,2,0,1,0,60,0,7.901634103
C-18524,Dr. Arun Motghare College of,Punjab,2,0,0,10,73,0,7.915273226
C-26361,Mother Theresa College of,Maharashtra,7,119,0,10,80,17,7.921496371
C-6249,Post Graduate Institute of Hospital,Tamil Nadu,7,86,0,0,85,12.28571429,7.94656243
C-47561,VELUMAILU SIDDHA MEDICAL,Uttar Pradesh,44,160,2,10,71,3.636363636,7.950266763
C-57039,"ST. JOSEPHS COLLEGE FOR WOMEN,",Tamil Nadu,23,219,0,10,83,9.52173913,7.984613901
C-55910,RAMNAGAR B.ED. COLLEGE,Uttar Pradesh,14,156,0,10,96,11.14285714,8.011913124
C-31203,SONY COMPUTER EDUCATION,Punjab,11,371,0,0,65,33.72727273,8.035371082
C-6531,Amarnath College of Education,Maharashtra,8,7,2,10,59,0.875,8.038882405
C-6701,DIVYACHETANA BBA COLLEGE,Haryana,1,0,0,0,62,0,8.045666176
C-1320,"S J C Institute of Technology, CHICKBALLAP",Odisha,210,2864,2,10,61,13.63809524,8.087134612
C-58594,MAHATMA GANDHI GROUP OF,Rajasthan,18,163,0,10,62,9.055555556,8.092147638
C-7438,"College of Physical Education,",Gujarat,3,8,0,10,59,2.666666667,8.092863432
C-51672,EARTHA-Elements of Art and,Pondicherry,5,5,0,0,53,1,8.132933485
C-35947,"TIT College, Anand Nagar, PB No. 24,",Andhra Pradesh,145,1558,2,10,78,10.74482759,8.133548753
C-18719,"Prajasattak College of Education,",Rajasthan,12,179,0,10,65,14.91666667,8.138752116
C-44559,S. S. COLLEGE OF BIO TECHNOLOGY,Rajasthan,13,306,0,10,93,23.53846154,8.140387335
C-35693,"Govt I Grade College, Ankola Dist",Maharashtra,50,686,1,10,96,13.72,8.140387335
C-34904,KESHAV EDUCATION COLLEGE,Rajasthan,8,41,0,10,69,5.125,8.141943121
C-56618,L B S B.Ed. College,Uttar Pradesh,16,194,0,10,87,12.125,8.148918046
C-53014,"Sukurti Commerce College, Hubli",Uttar Pradesh,9,20,0,10,91,2.222222222,8.159779017
C-1268,"SEA College of Engineering & Technology,",Tamil Nadu,112,407,3,10,59,3.633928571,8.165168235
C-53767,Advance Courses of Computer,Uttarakhand,6,0,0,0,63,0,8.166002162
C-30416,Jaya Inst. of Medical Lab Technology B.,Uttar Pradesh,9,67,1,10,100,7.444444444,8.175913669
C-11240,Yashwantrao Chavan Institute of,Uttar Pradesh,67,3821,1,10,93,57.02985075,8.185326993
C-52817,JAGAT NARAYAN MAHAVIDHYAL,Tamil Nadu,8,531,0,10,71,66.375,8.191913619
C-9546,Annai Terasa Arts & Science College,Maharashtra,6,0,2,10,74,0,8.193105924
C-30466,"Laxmi College of Nursing, Hyderabad",Andhra Pradesh,26,187,1,10,81,7.192307692,8.194043321
C-52832,SHIV OM NAKCHHED TIWARI,Maharashtra,3,2,0,10,57,0.666666667,8.194585968
C-12079,OMAR VAISHYA LALA PURUSHOTTA,Manipur,8,177,0,0,68,22.125,8.223697673
C-18724,YGP memorial College of Arts and,Uttar Pradesh,7,108,0,10,61,15.42857143,8.242057545
C-12054,PREMA KATIYAR SIKSHAN,Andhra Pradesh,20,597,1,10,76,29.85,8.252944389
C-28522,"VSS Government Arts College,",Madhya Pradesh,25,397,1,0,93,15.88,8.268904479
C-39783,"Inter Science Degree College,,",Gujarat,10,120,2,0,100,12,8.274725397
C-43546,"PATAMDA DEGREE COLLEGE,",Andhra Pradesh,18,854,1,10,62,47.44444444,8.277836969
C-60075,VBTs Institute of Library & Information,Karnataka,9,12,2,10,65,1.333333333,8.290071963
C-57025,SONKAR COLLEGE,Karnataka,12,193,0,10,75,16.08333333,8.30222689
C-51350,AL-AZHAR MEDICAL COLLEGE,Maharashtra,77,0,2,10,74,0,8.303566748
C-36953,Alpha Institute of Management,Madhya Pradesh,2,10,0,10,57,5,8.306247043
C-36587,SRI NAGALAKSHMI AMMAL,Karnataka,12,34,2,10,84,2.833333333,8.312455521
C-34170,Sai Shikshan & Samajik Sanshodhan,Madhya Pradesh,11,426,0,10,86,38.72727273,8.318831515
C-42295,SMT. SATYAWATI DEVI,Gujarat,20,982,1,0,77,49.1,8.322776627
C-15273,RANVEER SINGH SHYAM SINGH,Rajasthan,3,677,0,10,91,225.6666667,8.349248711
C-31088,BHARDWAJ COMPUTER TRAINING,Rajasthan,4,2,0,10,73,0.5,8.356133573
C-45563,THE EYE FOUNDATION (Inst. Code -,Karnataka,5,6,2,10,89,1.2,8.359576003
