AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio
C-8915,"110012-TES'S BHUSAWAL ARTS,SCIENCE",Uttar Pradesh,61,2661,0,10,59,43.62295082
C-9032,110013-SSVPM'S SMT.P.K.KOTECHA,Chattisgarh,26,780,1,10,58,30
C-8834,"110015-JDMVP CO-OP S'S ARTS,",Telangana,8,350,0,10,68,43.75
C-9017,110016-BSCES'S ARTS & COMMERCE,Uttar Pradesh,22,1197,1,10,57,54.40909091
C-8967,110044-TES'S INSTITUTE OF MANAGEMENT,Chattisgarh,3,7,0,10,98,2.333333333
C-8994,110050-THE BHUSAWAL PEOPLES,Punjab,22,899,0,10,83,40.86363636
C-8830,110059-HINDI SEVA MANDAL'S,Gujarat,84,1068,3,10,76,12.71428571
C-8850,110088-K.NARKHEDE COLLEGE,Maharashtra,11,92,0,0,71,8.363636364
C-8936,110102-KYDSCT'S COLLEGE OF,Tamil Nadu,25,348,0,10,78,13.92
C-8920,110109-LATE DCBEDT'S BIYANI,Maharashtra,3,50,2,10,74,16.66666667
C-8807,"120017-KES'S PRATAP COLLEGE,",Gujarat,140,8842,9,10,78,63.15714286
C-8989,"120018-NPS'S COLLEGE OF EDUCATION,",Telangana,7,166,2,10,61,23.71428571
C-8951,120064-SSES'S PANDIT JAWAHARLAL,Jammu and Kashmir,10,525,1,0,87,52.5
C-8985,120068-DMESS'S ARTS & SCIENCE,Madhya Pradesh,11,546,0,10,57,49.63636364
C-8917,120072-GVSM'S LATE NHANABHAU,Maharashtra,11,224,0,0,64,20.36363636
C-8879,"120104-JBSAS KAMAL AAKKA PATIL ARTS,",Haryana,5,0,0,0,35,0
C-8848,"130020-CES'S BP.ARTS,SMA.SCIENCE &",Kerala,79,1963,2,10,87,24.84810127
C-9007,130021-RSSPM'S NANASAHEB,Bihar,52,6273,1,10,80,120.6346154
C-8819,130082-SSMACT'S SMT. SITABAI,Punjab,3,79,0,10,62,26.33333333
C-8961,130083-MPS&SVM'S ARTS,Maharashtra,15,139,1,10,61,9.266666667
C-8832,130091-MFS&SVMS MAHATMA,Gujarat,5,39,1,10,63,7.8
C-8814,130106-KDMG'S NANASAHEB,Maharashtra,9,41,2,10,48,4.555555556
C-8975,"140022-MGTSM'S ARTS,SCIENCE",Jharkhand,57,2668,2,10,74,46.80701754
C-8982,"140024-CES'S COLLEGE OF EDUCATION,",Andhra Pradesh,5,50,1,10,76,10
C-9004,140046-MGSM'S SMT.SHARADCHAN,Himachal Pradesh,19,363,2,10,66,19.10526316
C-8823,140052-BM'S COLLEGE OF SOCIAL,Kerala,13,274,0,0,61,21.07692308
C-8878,140065-PS&SSS PANKAJ ARTS,Maharashtra,13,486,0,0,76,37.38461538
C-8927,"150026-JDMVP CO-OP S'S ARTS,",Maharashtra,14,1079,0,10,80,77.07142857
C-9012,150027-TMES'S J.T.MAHAJAN,Karnataka,78,813,2,0,93,10.42307692
C-8881,150028 - TAPI VALLEY EDUCATION,Telangana,109,2339,1,10,81,21.4587156
C-8806,150029-TVES'S COLLEGE OF,Odisha,4,44,1,10,57,11
C-8851,150051-TVES'S HON'BLE,Kerala,20,259,2,10,75,12.95
C-8820,150056-SES'S ARTS & SCIENCE,Bihar,28,1258,1,10,90,44.92857143
C-8981,160030-YCSPM'S DADASAHEB,Gujarat,24,1348,1,10,71,56.16666667
C-8885,160031-PRHSS'S ARTS & COMMERCE,Karnataka,20,3064,1,10,62,153.2
C-8983,"170032-JTES'S ARTS,COMMERCE &",Kerala,44,2720,1,10,39,61.81818182
C-8894,170033-SSE CO-OP S'S LATE R.B.,Telangana,22,1783,1,10,68,81.04545455
C-8980,"170034-PT CO-OP ES'S ARTS,SCIENCE",Karnataka,47,5862,0,0,76,124.7234043
C-8987,170096-SHREE SURESHDADA,West Bengal,16,270,1,10,99,16.875
C-8942,170111-PDUSPM'S INSTITUTE OF,Rajasthan,4,81,0,0,100,20.25
C-8880,180035-VBES'S SANT MUKTABAI,Rajasthan,16,796,1,10,95,49.75
C-8910,180036-ETES'S S.G.G.K. SCIENCE &,Uttar Pradesh,44,4562,1,10,62,103.6818182
C-8856,180037-RPSPM'S SHRI VITTHALRAO,Uttar Pradesh,19,826,1,10,77,43.47368421
C-8891,180038-JSM'S SGVPC COLLEGE OF,Maharashtra,7,28,2,10,59,4
C-8956,180049-APSPM'S SARDAR,Andhra Pradesh,27,360,1,10,87,13.33333333
C-8863,"190040-KVPS'S KISAN ARTS,",Kerala,39,1276,0,10,72,32.71794872
C-8897,190041-PTSS'S SAU. RAJNITAI N.,Karnataka,28,783,0,10,72,27.96428571
C-9003,190042-SSPM'S RANI LAXMIBAI,Uttar Pradesh,30,2586,0,10,90,86.2
C-8901,190097-SSPM'S COLLEGE OF,Gujarat,5,77,1,10,75,15.4
C-8916,200001-JAI HIND ET'S ZULAL,Maharashtra,64,2748,1,10,77,42.9375
C-8871,200002-SSVPS'S LATE KARMAVEER,Rajasthan,45,1723,2,10,62,38.28888889
C-8950,200003-SSVPS'S BHAUSAHEB,Gujarat,36,3015,2,10,90,83.75
C-8874,200004-SSVPS'S BAPUSAHEB,Maharashtra,106,1555,2,10,64,14.66981132
C-8867,"200005-VWS'S ARTS,COMMERCE&S",Gujarat,29,1705,2,10,10,58.79310345
C-8906,200006-DES'S M.D.PALESHA COMMERCE,Uttar Pradesh,10,721,0,0,81,72.1
C-8921,200007-WKDSPM'S DR.,Manipur,8,615,0,0,86,76.875
C-8932,"200008-DES'S COLLEGE OF EDUCATION,",West Bengal,6,57,1,10,74,9.5
C-8886,200009-AYKK'S ARTS MAHILA,Bihar,15,174,1,10,61,11.6
C-8896,200013-AYKK'S COLLEGE OF,Madhya Pradesh,5,71,1,10,74,14.2
C-8930,"200017-SES'S COLLEGE OF ENGINEERING,",Uttar Pradesh,6,143,4,10,95,23.83333333
C-8962,200018-SMT. N.N.C ARTS COMMERCE &,Uttar Pradesh,20,822,0,10,89,41.1
C-8911,200019-NES'S GANGAMAI COLLEGE OF,Maharashtra,9,182,2,0,75,20.22222222
C-8938,"200020-JSPS'S COLLEGE OF EDUCATION,",Chattisgarh,5,29,2,10,90,5.8
C-8892,200022-K.S.WANI ADVANCED,Maharashtra,10,107,0,10,22,10.7
C-8846,200025-NES'S GANGAMAI COLLEGE OF,Punjab,93,484,2,10,58,5.204301075
C-8986,200057-GVM'S KRANTIVIR NAVALBHAU,Tamil Nadu,10,267,0,0,50,26.7
C-8941,200058-GET'S ARTS & SCIENCE,Uttar Pradesh,24,652,0,10,41,27.16666667
C-8925,"200064-A.R.A. COLLEGE OF PHARMACY,",Tamil Nadu,29,290,1,10,86,10
C-8870,200070-SSS'S DR.B.R.AMBEDKAR,Maharashtra,14,210,2,0,8,15
C-8978,200073-BSSPM'S ARTS & SCIENCE,Chattisgarh,24,997,0,10,76,41.54166667
C-8857,200088-SYSTEL INSTITUTE OF,Maharashtra,4,50,0,10,69,12.5
C-8988,"200092-ARTS, COMMERCE & SCIENCE",Maharashtra,10,89,0,10,69,8.9
C-8914,200094-SSPTS'S LATE BAPUSAHEB S.,Odisha,2,19,0,0,67,9.5
C-8873,200095-NES'S GANGAMAI COLLEGE OF,Telangana,36,483,2,10,62,13.41666667
C-8955,200101-ASPMD'S BAPUSAHEB D.,Karnataka,9,115,2,10,95,12.77777778
C-8895,200103-SET'S INSTITUTE OF INFORMATION,Tamil Nadu,5,61,0,10,72,12.2
C-8854,200110-SSS'S HAJI SAEED AHMAD,Madhya Pradesh,19,192,0,10,95,10.10526316
C-8919,200111-SS&SS'S VIDYADHAN,Telangana,19,207,0,10,71,10.89473684
C-49983,200121-STREE SHIKSHAN SANSTHA'S,Jammu and Kashmir,13,113,0,0,92,8.692307692
C-8825,"210026-VVM'S ARTS,SCIENCE & COMMERCE",Punjab,25,1286,2,10,81,51.44
C-8970,"210027-PES'S KARM.A.M.PATIL ARTS,",Rajasthan,27,642,0,10,80,23.77777778
C-8869,210067-NIJAMPUR JAITANE SPM,Madhya Pradesh,14,326,0,0,69,23.28571429
C-9015,210068-NSS UTTAMRAO PATIL ARTS &,Gujarat,22,2156,0,10,99,98
C-8990,210075-ADMSPS'S PRIN.,Gujarat,19,505,0,10,94,26.57894737
C-8923,210076-TES'S SMT.VIMALBAI UTTAMRAO,Haryana,21,672,0,10,67,32
C-8934,"220028-JSS'S ARTS,SCIENCE & COMMERCE",Rajasthan,42,1536,0,10,95,36.57142857
C-9020,"220029-TES'S ARTS,COMMERCE &",Assam,21,510,0,10,82,24.28571429
C-8902,220052-NTVS'S COLLEGE OF,Gujarat,8,97,2,10,67,12.125
C-8847,"220053-NTVS'S G.T.PATIL ARTS,",Karnataka,66,4696,2,10,73,71.15151515
C-8840,"220077-NTVS'S LAW COLLEGE,",Maharashtra,7,442,0,10,64,63.14285714
C-8926,220105-JIJAMATA EDUCATION,Kerala,3,85,0,10,83,28.33333333
C-8912,230032-PSGVPM'S D.N.PATEL,Gujarat,64,956,2,10,95,14.9375
C-8855,"230033-PSGVPM'S SCIENCE,",Rajasthan,48,1906,3,10,56,39.70833333
C-8821,230034-PSGVPM'S COLLEGE OF,Haryana,6,95,2,0,73,15.83333333
C-8849,230056-SSPM'S VASANTRAO,West Bengal,27,909,0,10,46,33.66666667
C-8996,230065-PSGVPM'S COLLEGE OF,Karnataka,21,394,2,10,75,18.76190476
C-8992,230066-GRAM VIKAS SANSTHA'S,Arunachal Pradesh,11,237,0,0,77,21.54545455
C-9029,230069-SSPM'S ARTS MAHILA,Kerala,11,270,0,0,64,24.54545455
C-8898,230078-SHAHADA TALUKA CO-OP,Uttar Pradesh,24,402,1,10,70,16.75
C-8859,230099-SHREE SAIBABA,Karnataka,5,179,0,0,63,35.8
C-8875,230102-ST CO.OP.ES'S INSTITUTE OF,Uttar Pradesh,4,107,0,10,68,26.75
C-9024,"240036-KVPS'S SMT.P.D.M.ARTS,",Uttar Pradesh,45,2213,1,10,66,49.17777778
C-8973,240039-SES'S H.R.PATEL ARTS MAHILA,Madhya Pradesh,14,505,1,0,40,36.07142857
C-8960,"240040-SES'S COLLEGE OF EDUCATION,",Telangana,11,177,1,10,53,16.09090909
C-9002,240051-R.C.PATEL E.T.'S ARTS &,Karnataka,73,2063,3,10,54,28.26027397
C-8993,240055-SES'S R.C.PATEL INSTITUTE OF,Gujarat,88,1198,5,10,92,13.61363636
C-8868,240074-R.C.PATEL EDU.TRUST'S,Tamil Nadu,34,1075,2,10,89,31.61764706
C-8984,"240080-AVPSS ARTS COLLEGE,",Gujarat,10,213,0,0,84,21.3
C-8838,240081-SES'S R.C.PATEL INSTITUTE OF,Maharashtra,122,2161,6,10,85,17.71311475
C-8924,240093-SES'S H.R.PATEL INSTITUTE OF,Uttar Pradesh,19,303,2,10,87,15.94736842
C-8959,240096-KVPS'S INSTITUTE OF,Andhra Pradesh,20,289,1,10,87,14.45
C-8816,250042-SSSVPS'S LATE S.D.,Kerala,28,1321,2,10,61,47.17857143
C-9009,250043-SSVPS'S SMT.P.B.BAGAL,Uttarakhand,7,513,0,10,97,73.28571429
C-8931,250044-SVS'S ARTS & SCIENCE,Andhra Pradesh,34,760,0,10,69,22.35294118
C-8958,250046-GVSM'S M.D.SISODE ARTS,Maharashtra,27,763,0,10,67,28.25925926
C-8953,250108-SVS'S SHRIMANT RAJE,Kerala,6,67,2,10,55,11.16666667
C-49529,250114-SHRI JAYKUMAR RAWAL,Uttar Pradesh,69,617,0,10,56,8.942028986
C-9031,"260049-ASM'S C.H.C. ARTS, SCIENCE & S.",Assam,30,1480,0,10,86,49.33333333
C-8968,260050-VVM'S ARTS & COMMERCE,Rajasthan,19,559,0,10,63,29.42105263
C-8929,260054-MAHATMA FULEY,Bihar,8,158,0,0,71,19.75
C-8837,260072-SJMSM'S ARTS & COMMERCE,Gujarat,10,213,0,0,85,21.3
C-8947,260084-GVMMS'S PRADNYA,Gujarat,9,930,0,0,51,103.3333333
C-9005,260089-RFN'S SENIOR SCIENCE,Maharashtra,12,478,0,10,42,39.83333333
C-9006,260091-JIIU'S JAMIA COLLEGE OF,Telangana,8,96,2,10,68,12
C-9021,260097-ALI-ALLANA COLLEGE OF,Rajasthan,24,232,2,10,46,9.666666667
C-8884,"270047-ASS&SPS'S KALA,WANIJYA",Madhya Pradesh,36,3445,2,10,61,95.69444444
C-8835,270048-ASSS'S COLLEGE OF,Madhya Pradesh,10,138,2,10,95,13.8
C-8818,270083-VES'S SARVAJANIK ARTS,Karnataka,15,293,0,0,95,19.53333333
C-8964,280061-ASSPM'S MAHARAJ,Madhya Pradesh,17,726,1,10,58,42.70588235
C-43002,357 Late.Uttamrao Deshmukh,Karnataka,1,180,0,0,49,180
C-43023,410 Babasaheb Deshmukh,Uttar Pradesh,14,541,0,0,88,38.64285714
C-10257,A & M Institute of Management,Maharashtra,32,427,0,10,78,13.34375
C-45314,"A B N SEAL COLLEGE, COOCHBEHAR",West Bengal,78,2720,2,10,87,34.87179487
C-18137,A B R College of Engineering and,Chattisgarh,136,956,2,10,50,7.029411765
C-47401,"A C M COLLEGE, Seoni",Karnataka,17,178,0,10,52,10.47058824
C-16600,A C T College of Engineering and,Maharashtra,73,114,2,10,67,1.561643836
C-45351,"A C TRAINING COLLEGE, JALPAIGURI",Gujarat,12,100,1,10,43,8.333333333
C-48701,"A D S NURSING COLLEGE,",Telangana,3,134,2,10,61,44.66666667
C-40319,A E C S Maruthi College of,Tamil Nadu,32,155,1,10,77,4.84375
C-15759,A G PATIL INSTITUTE OF TECH0LOGY,Andhra Pradesh,57,655,2,10,88,11.49122807
C-56544,A H M A DEGREE COLLEGE,Rajasthan,8,272,0,10,93,34
C-40086,"A J Inst. of Medical Sciences,",Odisha,19,806,4,10,82,42.42105263
C-56446,A J Institute of Engineering and,Odisha,55,577,2,10,95,10.49090909
C-40246,A J Institute of Medical Sciences,West Bengal,470,912,2,10,90,1.940425532
C-50131,"A K DEGREE COLLEGE, CHHIBRAMAU",Jammu and Kashmir,21,461,0,10,74,21.95238095
C-50994,"A K G COLLEGE BIKAMAU,",West Bengal,20,260,1,10,73,13
C-50539,A L T TRAINING COLLEGE,Tamil Nadu,4,16,2,0,62,4
C-1231,"A M C Engineering College ,",Maharashtra,272,2334,2,10,60,8.580882353
C-44693,A M E X,Tamil Nadu,9,360,0,10,71,40
C-40463,A M E’s Dental College & Hospital,Andhra Pradesh,34,161,2,10,62,4.735294118
C-57106,A M TEACHERS TRAINING,Telangana,30,396,2,10,46,13.2
C-46712,A N A COLLEGE OF ENGINEERING,Rajasthan,124,492,1,10,58,3.967741935
C-38645,"A N B.Ed. College, Jaipur",Tamil Nadu,16,197,0,10,82,12.3125
C-45378,"A N COLLEGE, DUMKA",Tamil Nadu,55,6132,2,0,65,111.4909091
C-38300,"A N TT College, Sikar",Uttar Pradesh,16,173,0,10,77,10.8125
C-11444,A One College of Education Raja Ka Bag,Andhra Pradesh,9,99,0,10,71,11
C-14139,"A P N P.G. College, Basti",Jharkhand,23,1809,0,0,70,78.65217391
C-50450,"A P SHAH INSTITUTE OF TECH0LOGY,",West Bengal,96,1553,0,10,37,16.17708333
C-50313,"A P TRIVEDI ARTS, COMMERCE",Madhya Pradesh,16,1029,0,10,79,64.3125
C-16544,A R Engineering College,Andhra Pradesh,79,362,2,10,97,4.582278481
C-42258,"A R G Arts and Commerce College,",Odisha,7,268,0,10,72,38.28571429
C-16575,A R M College of Engineering and,Odisha,104,1129,2,10,76,10.85576923
C-48589,"A R S BEd COLLEGE, BOKARO",Uttar Pradesh,17,100,0,10,62,5.882352941
C-45389,"A S COLLEGE, DEOGHAR",Madhya Pradesh,52,4281,1,10,75,82.32692308
C-10096,A S S NARENDRA PHYSICAL EDN,Kerala,5,62,1,10,86,12.4
C-47806,Â ST MARYs COLLEGE BACHELOR OF,Gujarat,14,99,0,10,75,7.071428571
C-39096,"A V M T T College, Bharatpur",Uttar Pradesh,19,362,6,10,53,19.05263158
C-53,"A-ONE PHARMACY COLLEGE,",West Bengal,29,271,0,10,52,9.344827586
C-18987,"A. College, Mahua",Maharashtra,40,737,0,10,90,18.425
C-176,"A. D. Patel Institute Of Tech0logy,",Karnataka,127,2127,4,10,81,16.7480315
C-55412,"A. J. K. College, Asanboni,",West Bengal,16,233,0,10,65,14.5625
C-57045,A. K. Institute of Nursing Manendragarh,Uttar Pradesh,20,148,2,10,80,7.4
C-40173,A. M Shaikh Homoeopathic Medical,Jharkhand,48,589,2,10,45,12.27083333
C-55606,A. M. College of Law,Punjab,3,305,0,10,86,101.6666667
C-29590,"A. M. Degree College, Araria",Telangana,50,1435,0,0,89,28.7
C-43566,A. N. Magadh Medical College &,Maharashtra,115,100,8,10,76,0.869565217
C-57226,A. N. Sinha Institute of Social Studies,Kerala,17,10,0,0,57,0.588235294
C-40016,"A. P.C. COLLEGE , NEEMUCH",Uttar Pradesh,21,1056,1,10,54,50.28571429
C-8784,A. P.S.M. College,Karnataka,10,4717,0,10,50,471.7
C-59039,A. R. College of Engineering and,Karnataka,99,624,2,10,68,6.303030303
C-460,A. R. COLLEGE OF PHARMACY & G.H.P.,Maharashtra,4,88,2,10,59,22
C-21419,"A. S. College, Srinagar",Maharashtra,88,4297,1,10,92,48.82954545
C-495,"A. V. Patel Commerce College,",Tamil Nadu,20,596,0,0,47,29.8
C-364,"A. Y. Dadabhai Technical Institute,",Madhya Pradesh,41,917,0,10,65,22.36585366
C-35789,"A.A. Government Arts College,",Andhra Pradesh,56,2697,1,10,67,48.16071429
C-10939,"A.A.Training College, Fakirpur,",Tamil Nadu,4,196,0,10,53,49
C-21350,A.B. College,Tamil Nadu,25,1158,2,10,93,46.32
C-44544,A.B.M. COLLEGE NAGPUR,Uttar Pradesh,9,46,0,0,92,5.111111111
C-39231,A.B.R College of Education,Delhi,15,221,0,10,73,14.73333333
C-27113,"A.B.R. College, Sasaram",Bihar,12,1410,0,10,91,117.5
C-19028,"A.B.S.College, Lalganj",Assam,161,5256,0,10,92,32.64596273
C-19320,A.B.S.M. INSTITUTE OF DENTAL,Karnataka,129,638,4,10,87,4.945736434
C-39598,"A.B.Womens Degree College,",Chattisgarh,21,112,0,10,56,5.333333333
C-25071,A.C. College of Tech0logy Campus,Assam,132,2408,5,10,94,18.24242424
C-34334,A.C.E. Foundation's Maharashtra,Tamil Nadu,10,197,0,10,25,19.7
C-34267,A.D. Deshmukh College of,West Bengal,14,146,0,10,78,10.42857143
C-34604,"A.D. Institute of Science and Management,",Rajasthan,1,171,0,10,73,171
C-39648,"A.D. Mahavidyalaya, Brahmagiri",West Bengal,22,869,1,10,51,39.5
C-35805,"A.D.M. College for Women, Nagapattinam",Rajasthan,105,1596,1,10,78,15.2
C-17113,A.D.P. College,Rajasthan,84,2571,2,10,53,30.60714286
C-52932,A.D.S. GROUP OF COLLEGE VILL PARVALIA,Maharashtra,9,37,0,10,51,4.111111111
C-17681,A.D.V.S. Arts & Commerce First Grade,Uttar Pradesh,13,137,1,10,64,10.53846154
C-40990,"A.E.S.College, Tarbha",Himachal Pradesh,8,816,0,10,77,102
C-25309,A.G. & S.G.S. COLLEGE,West Bengal,60,1245,1,10,64,20.75
C-41111,A.G. Arts and Science College,Maharashtra,61,1284,0,0,57,21.04918033
C-14965,A.G. College of Education,Madhya Pradesh,16,198,0,10,88,12.375
C-17760,"A.G.B. First Grade College, Davangere",Bihar,9,57,0,0,65,6.333333333
C-32664,A.G.K.M.College,Punjab,17,142,1,0,78,8.352941176
C-8710,A.H.S.A. College,Maharashtra,16,3541,0,10,79,221.3125
C-28343,"A.I.J.H.M.College, Rohtak.",Andhra Pradesh,146,9221,2,10,36,63.15753425
C-25284,A.J. COLLEGE OF EDUCATION,Uttar Pradesh,11,58,0,10,91,5.272727273
C-43749,"A.J. College of Science and Tech0logy,",Jammu and Kashmir,33,1120,0,10,89,33.93939394
C-16890,"A.J. Institute of Management, Kottara",Gujarat,14,235,2,10,95,16.78571429
C-25290,A.J. KALASALA,West Bengal,11,48,0,10,60,4.363636364
C-41493,A.J.M.V.P.Hutatma Karveer,Uttar Pradesh,10,31,0,10,84,3.1
C-15554,"A.K COLLEGE ,SHIKOHABAD,(FIROZABAD)",Madhya Pradesh,52,2103,2,10,75,40.44230769
C-56473,A.K. INSTITUTE OF MANAGEMENT,Uttar Pradesh,5,63,0,10,71,12.6
C-21555,A.K. VISHWANTHA REDDY,Tamil Nadu,13,193,0,10,75,14.84615385
C-36543,A.K.C. COLLEGE OF ARTS &,Assam,53,1401,2,10,97,26.43396226
C-40039,"A.K.C. COLLEGE, ABHAY",Maharashtra,17,179,0,0,100,10.52941176
C-26417,A.K.Chanda Law College,Rajasthan,6,280,0,0,57,46.66666667
C-40820,"A.K.College,Bheden",Karnataka,6,385,0,0,82,64.16666667
C-36531,A.K.D. DHARMARAJA COLLEGE FOR,Uttar Pradesh,52,1155,1,10,80,22.21153846
C-954,"A.K.DOSHI MAHILA ARTS, COMM. &.",Tamil Nadu,24,2062,0,10,75,85.91666667
C-43826,A.K.G. Memorial Co-operative,Bihar,25,218,2,0,99,8.72
C-61208,A.K.GOPALAN DEGREE COLLEGE,Rajasthan,22,1777,0,10,81,80.77272727
C-28972,A.K.P. College Khurja (Bulandshahr),Telangana,20,2612,0,10,78,130.6
C-18031,A.K.R.G. College of Engineering,Tamil Nadu,102,618,2,10,82,6.058823529
C-24096,A.K.R.G. DEGREE COLLEGE,Karnataka,14,1132,0,10,72,80.85714286
C-42771,"A.k.S.College,Japla",Jammu and Kashmir,65,7506,0,10,85,115.4769231
C-16591,A.K.T. Memorial College of,Bihar,81,1013,2,10,63,12.50617284
C-14787,A.K.T. Memorial College of,West Bengal,24,259,0,10,76,10.79166667
C-8536,"A.L. Prasad Degree College,",Punjab,10,72,3,10,31,7.2
C-26403,A.L.Choudhury College,Telangana,27,742,0,0,36,27.48148148
C-32711,A.L.College of Education,Gujarat,20,113,1,10,81,5.65
C-29583,"A.L.Y. College, Tribeniganj",Karnataka,125,2123,2,10,75,16.984
C-37211,A.M Reddy College of Education,West Bengal,1,115,0,10,80,115
C-28099,A.M. COLLEGE OF EDUCATION,Andhra Pradesh,10,192,0,10,77,19.2
C-31001,"A.M. Linganna College of Education,",Madhya Pradesh,8,50,0,10,77,6.25
C-39491,A.M. Reddy Memorial College of,Jharkhand,45,546,0,10,56,12.13333333
C-18114,A.M. Reddy Memorial College of,Kerala,149,974,2,10,67,6.536912752
C-24436,"A.M.A.L. Degree College,",Andhra Pradesh,47,975,1,10,72,20.74468085
C-20960,"A.M.C College, 18th Km. Bannerghatta",Uttar Pradesh,53,759,2,10,77,14.32075472
C-12867,A.M.College,Rajasthan,29,3504,1,10,49,120.8275862
C-24386,A.M.G. College of Education for Women,Telangana,9,48,0,10,66,5.333333333
C-32769,A.M.G.Degree College for Women,Gujarat,10,224,1,10,81,22.4
C-8762,A.M.M. College Benipur,Telangana,67,1796,0,10,58,26.80597015
C-956,A.M.P. LAW COLLEGE-RAJKOT,Gujarat,7,476,0,0,77,68
C-60877,A.N.A. Institute of Pharmaceutica,Rajasthan,4,49,1,10,51,12.25
C-44538,A.N.A.C. WARORA,Tamil Nadu,17,396,0,10,63,23.29411765
C-12939,A.N.College,Karnataka,82,9085,1,10,68,110.7926829
C-8787,A.N.D. College,Assam,10,4128,1,10,89,412.8
C-12105,"A.N.D.N.N.M. MAHAVIDYALAYA,",West Bengal,55,2804,0,10,96,50.98181818
C-12244,"A.N.D.T.T. COLLEGE,",Tamil Nadu,5,115,0,10,80,23
C-30924,"A.N.K. Degree College, Gorantla",West Bengal,15,290,0,10,34,19.33333333
C-25362,A.N.R. COLLEGE,Haryana,71,1364,2,10,97,19.21126761
C-25310,A.N.R. P.L. ARTS & SCIENCE,Himachal Pradesh,7,189,0,10,76,27
C-12883,"A.N.S. College, Barh",Manipur,20,5973,2,10,63,298.65
C-12880,"A.N.S. College,Nabinagar",Maharashtra,8,2204,1,10,73,275.5
C-12892,A.N.S.College,Tamil Nadu,41,1148,0,10,57,28
C-10947,"A.P College, Raruan",West Bengal,31,1810,0,10,95,58.38709677
C-57462,A.P. DEGREE COLLEGE UNCHAGAON,Tamil Nadu,1,495,0,0,55,495
C-14149,A.P. Gupta & Srimati Geeta Devi Mahila,Karnataka,9,476,0,0,66,52.88888889
C-12770,A.P. SEN MEMORIAL GIRLS DEGREE,West Bengal,29,1082,0,10,65,37.31034483
C-53003,"A.P. SINGH DEGREE COLLEGE,",Andhra Pradesh,29,558,0,10,88,19.24137931
C-36569,A.P.A. COLLEGE OF ARTS &,Rajasthan,148,2235,1,10,57,15.10135135
