,SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,Predicted Rank
16,17,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Crescent College of Nursing Kadapa (Id: C30578),Y.S.R.,Nursing,0,65,65,0,27,27,0,1,2.41,-0.04595744
17,18,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Divya College of Nursing Anantapur (Id: C30637),Anantapur,Nursing,0,0,0,0,0,0,1,0,0,-0.5321654
18,19,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Florence Nightingale Modern B.Sc Nursing Degree College For Women Kadapa (Id: C30608),Y.S.R.,Nursing,0,162,162,0,24,24,1,1,6.75,-0.4153164
19,20,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),MIMS College of Nursing Nellimarla (Id: C30554),Vizianagaram,Nursing,0,86,86,0,30,30,1,0,2.87,-0.4961382
20,21,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sanjivi B.Sc Degree College of Nursing Guntur (Id: C30371),Guntur,Nursing,0,26,26,1,12,13,0,1,2,-0.017054498
21,22,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sri Sai saran College of Nursing Rajahmundry (Id: C30496),East Godavari,Nursing,0,90,90,0,36,36,1,1,2.5,-0.46317294
22,23,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sri Venkatadri College of Nursing Kadapa (Id: C30604),Y.S.R.,Nursing,0,84,84,0,26,26,0,1,3.24,-0.066490114
23,24,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),St. Anns College of Nursing Guntur (Id: C30344),Guntur,Nursing,0,174,174,0,37,37,1,1,4.71,-0.3667024
24,25,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Anjan Narasimha Munaga Kancharla Thummapudi Institute of Technology and Management Badvel (Id: C26933),Y.S.R.,Technical/Polytechnic,176,9,185,26,1,27,0,0,6.86,-0.3157677
25,26,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Gokulakrishna College of Engineering Sullerpet (Id: C26959),Sri Potti Sriramulu Nellore,Technical/Polytechnic,1497,419,1916,103,66,169,0,1,11.34,-0.34031838
26,27,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Priyadarshini College of Engineering (G1) Sullurpet (Id: C26957),Sri Potti Sriramulu Nellore,Technical/Polytechnic,505,205,710,56,34,90,0,1,7.89,-0.19030434
27,28,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Sree Kalahastheeswara Institute of Technology Sreekalahasti (Id: C26956),Chittoor,Technical/Polytechnic,1590,445,2035,25,8,33,1,1,61.67,-2.8586488
28,29,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Sri Vidyaniketan Engineering College Tirupathi (Id: C26929),Chittoor,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
29,30,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Kakinada Institute of Technological SciencesA Agraharam(V) Ramachandrapuram533255 (CCJP) (Id: C17973),East Godavari,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,-0.24562012
30,31,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Nova's Institute of TechnologyTANGELLAMUDI VILLAGE ELURU MANDAL PIN534005(CC9F) (Id: C18017),West Godavari,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
31,32,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sarada Institute of Science Technology And Management (SISTAM) Ampolu RoadPIN532404(CC51) (Id: C18163),Srikakulam,Technical/Polytechnic,757,187,944,124,47,171,0,1,5.53,-0.12106153
32,33,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sri Sivani College of Engineering Chilakapalem Junction Etcherla Mandal PIN532402 (CCW6) (Id: C18111),Srikakulam,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
33,34,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),Sri Vatsavai Krishnam Raju College of Engineering and Technology Gollala Koderu Palakoderu (Mandal) Bhimavaram. PIN534202(CCMR) (Id: C18147),West Godavari,Teacher Training,0,0,0,0,0,0,0,0,0,0
34,35,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),VIG0N INSTITUTE OF PHARMACEUTICAL TECHNOLOGY Beside VSEZ Vadlapudi (PO)Jaggarajupeta(V)Gajuwaka PIN530049(CCAC)) (Id: C18033),Visakhapatnam,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
35,36,Andhra Pradesh,Jawaharlal Nehru Technological University Kakinada (Id: U0015),VRS and YRN College of Engineering and Technology Vodarevu Road Chirala(M)523157(CCL1) (Id: C18043),Prakasam,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
36,37,Andhra Pradesh,Rayalaseema University Kurnool (Id: U0031),JVRRM College of Education Nandyal (Id: C26251),Kurnool,Teacher Training,116,86,202,16,1,17,1,0,11.89,-0.74892545
37,38,Andhra Pradesh,Sri Venkateswara University Tirupathy (Id: U0037),Global Institute of Advance Study in Education Palamaner (Id: C27690),Chittoor,Teacher Training,0,0,0,0,0,0,0,0,0,0
38,39,Andhra Pradesh,Vikram Simhapuri University Nellore (Id: U0044),St Mari College of Education Buchireddypalem (Id: C24778),Sri Potti Sriramulu Nellore,Teacher Training,47,53,100,7,4,11,1,1,9.1,-0.47131738
39,40,Andhra Pradesh,Yogi Vemana University Kadapa (Id: U0045),DAW Degree College (Id: C30303),Y.S.R.,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
40,41,Assam,Dibrugarh University Dibrugarh (Id: U0051),D.D.R. College P.O. Chabua786184 (Id: C8402),Dibrugarh,Technical/Polytechnic,262,298,560,19,14,33,0,0,16.97,-0.781134
41,42,Assam,Gauhati University Guwahati (Id: U0052),Dr. B. Borooah Cancer Institute (Id: C17283),Kamrup,Technical/Polytechnic,3,1,4,3,1,4,1,1,1,-0.36099008
42,43,Bihar,Aryabhatta Knoweledge University  Patna (Id: U0057),Mahavir Cancer Sansthan (Id: C49568),Patna,Nursing,18,2,20,3,4,7,0,1,2.86,-0.057434596
43,44,Bihar,Bhupendra Narayan Mandal University Madhepura (Id: U0059),M.I.T. Rambagh (Id: C29598),Purnia,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
44,45,Bihar,Jai Prakash Vishwavidyalaya Chapra (Id: U0066),Gopeshwar CollegeHathua (Id: C19496),Gopalganj,Technical/Polytechnic,1892,2408,4300,13,0,13,1,1,330.77,-15.245405
45,46,Bihar,Magadh University Bodh Gaya (Id: U0069),M.D.College Naubatpur (Id: C12961),Patna,Technical/Polytechnic,395,358,753,15,2,17,1,0,44.3,-2.2407677
46,47,Bihar,Maulana Azad National Urdu University Hyderabad (Id: U0023),MANUU POLYTECHNIC DARBHANGA (Id: C46612),Darbhanga,Technical/Polytechnic,288,33,321,18,0,18,1,0,17.84,-1.0228059
47,48,Bihar,Veer Kunwar Singh University Arrah (Id: U0077),Harinarayan Singh Institute of Teachers Education Sasaram (Id: C36588),Rohtas,Teacher Training,31,69,100,7,4,11,0,0,9.1,-0.41887575
48,49,Chandigarh,Panjab UniversityChandigarh (Id: U0078),Chandigarh College of Engineering and Technology Sector26 (Id: C29359),Chandigarh,Technical/Polytechnic,946,108,1054,31,22,53,0,0,19.89,-0.9155425
49,50,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),C.G. COLLEGE OF NURSING SECT.02 BAJAJ COLONY NEW RAJENDRA 0GAR (Id: C32977),Raipur,Nursing,6,34,40,9,11,20,0,1,2,-0.017054498
50,51,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),GOVT.COLLEGE OF NURSING KAWARDHAOLD DISTT. HOSPITAL CAMPUS (Id: C32969),Kabeerdham,Nursing,0,1,1,0,7,7,0,1,0.15,-0.18036836
51,52,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),M.J.COLLEGE OF NURSING KOHKA JUNWANI ROAD NEAR C.B.S.C. SUBSTATION BHILAI (Id: C32986),Durg,Nursing,43,90,133,4,17,21,1,0,6.34,-0.5162479
52,53,Chhatisgarh,Ayush and Health Science University of Chattisgarh Raipur (Id: U0081),SHREYAS COLLEGE OF NURSING G.E.ROAD SUPELA BHILAI (Id: C32959),Durg,Nursing,24,150,174,10,28,38,0,0,4.58,-0.2108188
53,54,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),C.P.M. Arts/Science College Sarangarh (Id: C22337),Raigarh,Technical/Polytechnic,451,402,853,13,5,18,1,0,47.39,-2.3830013
54,55,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),D.P. Vipra College of Education Bilaspur (Id: C22347),Bilaspur,Teacher Training,54,83,137,4,8,12,1,1,11.42,-0.55683637
55,56,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),MAHAMAYA TECHNICAL COLLEGE RATANPUR (Id: C49153),Bilaspur,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,-0.24562012
56,57,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),Panchvati Mahavidyalaya Mopka (Id: C9732),Bilaspur,Technical/Polytechnic,36,24,60,3,0,3,0,1,20,-0.73894083
57,58,Chhatisgarh,BILASPUR VISHWAVIDYALAYA (Id: U0636),SANSKRITI MAHAVIDYALAYA MEU PAMGARH (Id: C49159),Janjgir  Champa,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
58,59,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),AGRASEN POLYTECHNIC COLLEGE DAGANIA (Id: C49636),Janjgir  Champa,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
59,60,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),BHARTI COLLEGE OF POLYTECHNIC DURG (Id: C49522),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
60,61,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),B R P Govt. Polytechnic Dhamatari (Id: C16660),Dhamtari,Technical/Polytechnic,626,234,860,14,9,23,1,0,37.4,-1.9231591
61,62,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Columbia College of Pharmacy Raipur (Id: C16632),Raipur,Technical/Polytechnic,77,43,120,4,3,7,0,1,17.15,-0.60775447
62,63,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Garv Institute of Management and Technology Purai Bhilai (Id: C16640),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,-0.24562012
63,64,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Girls Polytechnic Raipur (Id: C16309),Raipur,Technical/Polytechnic,0,586,586,30,34,64,0,1,9.16,-0.23997223
64,65,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Girls Polytechnic Rajnandgaon (Id: C16305),Rajnandgaon,Technical/Polytechnic,0,182,182,8,6,14,0,0,13,-0.5983933
65,66,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Governement Polytechnic College Korea Baikunthpur Korea (Id: C16653),Koriya,Technical/Polytechnic,263,58,321,9,7,16,0,0,20.07,-0.9238279
66,67,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),GOVERNMENT POLYTECHINC RAMANUJGANJ OLD TEHSIL OFFICE (Id: C49655),Surguja,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
67,68,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),GOVERNMENT POLYTECHNIC SUKMA (Id: C49639),Dakshin Bastar Dantewada,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
68,69,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Girls Polytechnic Bilaspur (Id: C15590),Bilaspur,Technical/Polytechnic,0,325,325,5,4,9,1,0,36.12,-1.8642399
69,70,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Girls Polytechnic Jagdalpur (Id: C16308),Bastar,Technical/Polytechnic,9,272,281,9,15,24,1,1,11.71,-0.5677937
70,71,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Ambikapur (Id: C15592),Surguja,Technical/Polytechnic,562,174,736,40,8,48,1,0,15.34,-0.90773046
71,72,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Bijapur (Id: C15599),Bijapur,Technical/Polytechnic,209,22,231,4,2,6,1,1,38.5,-1.7921271
72,73,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Durg (Id: C15644),Durg,Technical/Polytechnic,909,323,1232,12,13,25,0,1,49.28,-2.0867076
73,74,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Gariyaband (Id: C19114),Raipur,Technical/Polytechnic,188,27,215,2,0,2,1,1,107.5,-4.968217
74,75,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Janjgir Champa (Id: C16633),Janjgir  Champa,Teacher Training,268,82,350,9,4,13,0,1,26.93,-1.0579306
75,76,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic  Jashpur. (Id: C15655),Jashpur,Technical/Polytechnic,226,32,258,7,2,9,1,0,28.67,-1.5213139
76,77,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Kabirdham Kawardha (Id: C15634),Kabeerdham,Technical/Polytechnic,207,21,228,12,6,18,0,0,12.67,-0.58320355
77,78,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Kanker (Id: C15675),Uttar Bastar Kanker,Technical/Polytechnic,224,54,278,13,5,18,1,1,15.45,-0.7311287
78,79,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Khairagarh (Id: C15597),Rajnandgaon,Technical/Polytechnic,556,0,556,13,7,20,0,0,27.8,-1.2796416
79,80,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.PolytechnicKorba (Id: C16307),Korba,Technical/Polytechnic,628,123,751,10,9,19,1,1,39.53,-1.8395379
80,81,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Mahasamund (Id: C15633),Mahasamund,Technical/Polytechnic,291,81,372,14,6,20,0,0,18.6,-0.8561634
81,82,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Narayanpur (Id: C15604),Narayanpur,Technical/Polytechnic,155,21,176,13,12,25,1,0,7.04,-0.525679
82,83,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Raigarh (Id: C16306),Raigarh,Technical/Polytechnic,935,224,1159,28,14,42,0,1,27.6,-1.0887711
83,84,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Takhatpur (Id: C15635),Bilaspur,Technical/Polytechnic,222,30,252,12,3,15,1,1,16.8,-0.79326934
84,85,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),IBT College of Diploma Engg.Berla Road Ahiwara Nandini Road (Id: C15612),Durg,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,-0.14821967
85,86,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),J K Institute of Pharmacy Near Gatora Railway Station (Id: C15637),Bilaspur,Technical/Polytechnic,87,26,113,6,2,8,1,0,14.13,-0.85203373
86,87,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Mansa Polytechnic Kohka Kurud Road. Bhilai. (Id: C15672),Durg,Technical/Polytechnic,612,12,624,23,17,40,1,1,15.6,-0.738033
87,88,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Moulana Abul Kalam Azad College of Pharmacy Navdurga Nagar Mathpurena (Id: C15606),Raipur,Technical/Polytechnic,86,8,94,4,2,6,1,1,15.67,-0.74125546
88,89,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),NMDC DAV Polytechnic Dantewada (Id: C15626),Dakshin Bastar Dantewada,Technical/Polytechnic,343,15,358,7,5,12,0,0,29.84,-1.3735433
89,90,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Royal College of Pharmacy Sanjay Nagar Ring Road No 1 (Id: C15613),Raipur,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
90,91,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),SHRI SAI POLYTECHNIC DEURJHAL 0NDINI (Id: C49637),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
91,92,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Siddhi Vinayak Institute of Technology and Science (College of Pharmacy) Near Balram Talkies Nehru Nagar (Id: C16647),Bilaspur,Technical/Polytechnic,125,37,162,13,7,20,0,1,8.1,-0.19823897
92,93,Chhatisgarh,Guru Ghasidas Vishwavidyalaya Bilaspur (Id: U0085),C.P.M. Arts/Science College Sarangarh (Id: C22337),Raigarh,Technical/Polytechnic,451,402,853,13,5,18,0,1,47.39,-1.9997091
93,94,Chhatisgarh,Guru Ghasidas Vishwavidyalaya Bilaspur (Id: U0085),D.P. Vipra College of Education Bilaspur (Id: C22347),Bilaspur,Teacher Training,54,83,137,4,8,12,1,0,11.42,-0.7272914
94,95,Chhatisgarh,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Nagarpalika Sharada Sangeet MahavidyalayaKawardha 491 995 (Id: C33080),Kabeerdham,Teacher Training,0,0,0,0,0,0,0,0,0,0
95,96,Chhatisgarh,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya Raipur (Id: U0089),Mahant Laximidas College Raipur (Id: C26388),Raipur,Teacher Training,0,0,0,0,0,0,0,0,0,0
96,97,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Confluence College of Higher Education Rajnandgaon (Id: C21829),Rajnandgaon,Teacher Training,236,270,506,13,19,32,0,0,15.82,-0.72819924
97,98,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Dr. Rajendra Prasad Art. and Comm College Risali Bhilai (Id: C21713),Durg,Teacher Training,39,61,100,4,5,9,1,0,11.12,-0.7134823
98,99,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Govt Dr. Vaman Vasudev Patankar Girls (Id: C21647),Durg,Teacher Training,0,2180,2180,3,28,31,1,1,70.33,-3.257269
99,100,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Indian College of Education Station Road (Id: C21749),Mahasamund,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
100,101,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),TakshShila Mahavidayalya Civic Center Engineers Bhawan Bhilai (Id: C21856),Durg,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
101,102,Chhatisgarh,Pt. Ravishankar Shukla University Raipur (Id: U0093),Vivekanand Education Institute Ram Krishna Parmhansh Kota (Id: C21823),Raipur,Teacher Training,40,59,99,1,5,6,1,1,16.5,-0.7794603
102,103,Chhatisgarh,Sarguja University Ambikapur (Id: U0095),Ayush College of Education Marvahi Village Lohari (Id: C9763),Bilaspur,Teacher Training,0,0,0,0,0,0,1,1,0,-0.24562012
103,104,Chhatisgarh,Sarguja University Ambikapur (Id: U0095),Panchvati Mahavidyalaya Mopka (Id: C9732),Bilaspur,Technical/Polytechnic,36,24,60,3,0,3,1,1,20,-0.94056594
104,105,Dadra and Nagar Haveli,Gujarat Technological University Ahmedbabd (Id: U0135),DR B B A GOVERNMENT POLYTECHNIC (Id: C47929),Dadra and Nagar Haveli,Technical/Polytechnic,540,105,645,24,7,31,1,1,20.81,-0.97785115
105,106,Daman and Diu,Gujarat Technological University Ahmedbabd (Id: U0135),GOVERNMENT POLYTECHNIC DAMAN658 (Id: C48754),Daman,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
106,107,Delhi,Guru Gobind Singh Indraprastha University (Id: U0099),Jagan Institute of Management Studies (Rohini) (Id: C32855),North West,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,-0.24562012
107,108,Delhi,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Sangeet NiketanNew Delhi (Id: C33029),New Delhi,Technical/Polytechnic,88,248,336,5,8,13,0,0,25.85,-1.1898832
108,109,Delhi,University of Delhi (Id: U0120),Daulat Ram College (Id: C6367),North,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,-0.5321654
109,110,Delhi,University of Delhi (Id: U0120),School of Rehabilitation Sciences (Id: C6392),South,Teacher Training,0,0,0,0,4,4,0,0,0,0
110,111,Goa,Goa University Goa (Id: U0121),GOA COLLEGE OF HOSPITALITY AND CULI0RY EDUCATION CIDADEDEGOA (Id: C46325),North Goa,Technical/Polytechnic,19,3,22,4,1,5,0,0,4.4,-0.20253325
111,112,Gujarat,Ahmedabad University (Id: U0122),PHYSIOTHERAPY COLLEGE FOR VISUALLY IMPAIRED (Id: C50452),Ahmadabad,Nursing,0,0,0,0,0,0,0,1,0,-0.14821967
112,113,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Agricultural Engineering Dahod (Id: C7235),Dohad,Technical/Polytechnic,77,15,92,5,0,5,0,1,18.4,-0.66529214
113,114,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Agriculture Vaso (Id: C7227),Kheda,Technical/Polytechnic,99,1,100,3,0,3,0,1,33.34,-1.3529844
114,115,Gujarat,Anand Agricultural University Anand (Id: U0123),Polytechnic in Food Science and Home Economics  Anand (Id: C7234),Anand,Technical/Polytechnic,44,42,86,1,2,3,1,1,28.67,-1.3396491
115,116,Gujarat,Anand Agricultural University Anand (Id: U0123),Sheth D.M.Polytehnic in Horticulture Vadodara (Id: C7237),Vadodara,Technical/Polytechnic,76,22,98,4,0,4,1,0,24.5,-1.3293675
116,117,Gujarat,Anand Agricultural University Anand (Id: U0123),Sheth M.C.Polytehnic in Agriculture  Anand (Id: C7236),Anand,Technical/Polytechnic,83,22,105,5,0,5,0,0,21,-0.9666357
117,118,Gujarat,Gujarat Ayurveda University Jamnagar (Id: U0133),Government Ayurved College Vadodara (Id: C6448),Vadodara,Technical/Polytechnic,26,115,141,16,17,33,0,0,4.28,-0.19700956
118,119,Gujarat,Gujarat Ayurveda University Jamnagar (Id: U0133),Maharshi Patanjali Institute for Yoga Naturopathy Education and Research (Id: C6441),Jamnagar,Teacher Training,0,0,0,0,0,0,1,0,0,-0.5321654
